num_words,num_characters,num_exclamation_marks,num_links,has_suspicious_link,num_attachments,has_attachment,sender_reputation_score,email_hour,email_day_of_week,is_weekend,num_recipients,contains_money_terms,contains_urgency_terms,target
14,85,0,2,0,0,0,0.77,19,1,0,10,1,0,
29,186,0,1,0,0,0,0.49,9,6,1,11,1,1,
23,164,0,2,0,1,1,0.73,2,6,1,23,0,1,
25,168,0,8,1,1,1,0.92,5,1,0,25,1,0,
13,93,0,5,1,1,1,0.9,1,1,0,29,0,1,
24,162,0,6,0,1,1,0.68,5,6,1,16,0,0,
21,155,0,2,0,0,0,0.52,12,3,0,8,0,0,
18,115,0,8,0,1,1,0.64,14,3,0,9,1,1,
22,151,0,4,1,0,0,0.9,7,4,0,22,0,0,
24,157,0,5,1,1,1,0.65,5,2,0,9,1,0,
20,121,0,4,1,1,1,0.78,11,5,1,14,0,0,
20,146,0,3,0,1,1,0.76,6,3,0,14,0,0,
15,95,0,8,1,1,1,0.8,10,4,0,20,0,0,
31,210,0,6,1,0,0,0.75,4,6,1,21,1,1,
13,85,0,8,1,0,0,0.73,14,0,0,26,0,0,
26,177,0,6,1,1,1,0.83,20,0,0,22,0,1,
17,117,0,6,1,0,0,0.75,19,0,0,1,0,1,
20,131,0,3,1,1,1,0.59,16,0,0,4,1,1,
14,98,0,8,0,1,1,0.31,23,4,0,20,0,1,
16,104,0,4,1,0,0,0.31,20,0,0,28,1,1,
16,111,0,4,1,2,1,0.95,22,0,0,30,0,0,
25,175,0,5,0,1,1,0.81,11,1,0,23,0,0,
19,139,0,7,1,2,1,0.68,19,0,0,26,0,0,
25,156,0,7,1,1,1,0.74,7,0,0,11,1,1,
13,92,0,5,0,0,0,0.68,15,2,0,22,0,0,
15,96,0,4,0,1,1,0.79,19,2,0,12,0,0,
22,137,0,7,0,1,1,0.64,0,2,0,14,0,1,
24,152,0,4,0,1,1,0.43,11,2,0,19,0,1,
19,125,0,5,0,0,0,0.68,8,0,0,22,1,0,
16,91,0,2,0,1,1,0.59,8,1,0,25,0,1,
10,63,0,6,0,1,1,0.55,19,2,0,19,0,0,
24,144,0,8,1,1,1,0.35,7,2,0,8,0,1,
17,104,0,3,1,0,0,0.84,4,5,1,17,0,0,
15,103,0,2,0,2,1,0.82,6,3,0,24,1,0,
16,103,0,6,1,1,1,0.9,19,0,0,18,0,0,
10,51,0,1,0,0,0,0.76,23,3,0,6,0,1,
16,96,0,7,1,0,0,0.55,3,5,1,6,1,1,
24,142,0,0,1,0,0,0.63,10,6,1,1,0,0,
17,110,0,6,1,0,0,0.82,7,6,1,12,0,0,
19,110,0,5,1,2,1,0.96,8,3,0,28,0,0,
15,101,0,2,0,0,0,0.55,7,3,0,28,0,0,
21,129,0,8,0,0,0,0.46,15,5,1,27,1,1,
17,113,0,0,0,2,1,0.83,18,5,1,18,1,1,
21,135,0,4,0,0,0,0.36,3,0,0,8,1,1,
12,73,0,2,0,2,1,0.63,10,5,1,12,0,1,
23,154,0,6,1,2,1,0.92,17,1,0,27,1,0,
16,99,0,6,1,1,1,0.95,19,5,1,30,0,0,
18,119,0,5,0,0,0,0.53,8,1,0,16,1,1,
21,143,0,3,0,1,1,0.72,20,3,0,23,1,1,
24,155,0,0,0,0,0,0.71,17,3,0,6,1,1,
11,64,0,3,1,1,1,0.74,23,6,1,9,0,0,
27,181,0,0,0,1,1,0.66,6,0,0,26,1,1,
16,96,0,5,0,0,0,0.53,3,3,0,9,1,0,
19,115,0,1,0,0,0,0.31,19,5,1,16,1,1,
23,151,0,4,1,1,1,0.63,2,4,0,18,0,0,
20,116,0,5,0,0,0,0.83,21,5,1,30,0,0,
5,26,0,2,0,0,0,0.83,0,6,1,25,0,0,
26,163,0,2,0,1,1,0.42,21,3,0,12,0,1,
23,142,0,6,1,1,1,0.71,13,6,1,19,1,1,
20,121,0,1,0,1,1,0.89,16,2,0,13,0,0,
25,163,0,4,0,0,0,0.54,8,3,0,12,1,1,
12,67,0,8,1,1,1,0.32,20,1,0,19,1,0,
22,142,0,8,1,0,0,0.32,12,5,1,7,0,1,
21,123,0,0,0,1,1,0.88,8,4,0,10,1,1,
22,134,0,7,0,0,0,0.92,9,4,0,2,0,0,
26,172,0,3,0,1,1,0.33,5,3,0,25,0,0,
18,121,0,6,1,2,1,0.7,16,1,0,12,0,1,
15,100,0,1,0,2,1,0.85,9,3,0,12,1,1,
17,113,0,5,0,0,0,0.55,15,5,1,18,0,0,
14,84,0,1,0,0,0,0.84,14,0,0,19,1,0,
29,187,0,2,0,0,0,0.74,19,4,0,1,1,1,
19,113,0,7,1,1,1,0.59,0,6,1,8,1,0,
22,124,0,5,1,0,0,0.31,7,6,1,18,0,1,
23,145,0,6,1,0,0,0.8,4,4,0,29,0,1,
21,129,0,1,1,1,1,0.77,13,0,0,13,1,1,
22,143,0,1,1,2,1,0.8,16,5,1,26,1,0,
17,122,0,7,1,0,0,0.87,12,1,0,8,0,0,
25,143,0,3,0,0,0,0.56,18,5,1,3,1,1,
13,81,0,3,0,2,1,0.76,7,5,1,16,0,0,
17,104,0,7,0,0,0,0.51,1,4,0,18,1,0,
11,74,0,1,1,1,1,0.82,16,3,0,21,1,0,
20,130,0,8,1,0,0,0.63,18,1,0,20,0,1,
21,119,0,5,1,0,0,0.79,18,6,1,19,1,1,
14,82,0,0,0,0,0,0.56,23,1,0,23,1,0,
23,141,0,3,1,1,1,0.46,21,6,1,18,1,1,
8,50,0,4,1,1,1,0.72,1,4,0,3,0,0,
16,100,0,6,1,2,1,0.97,1,1,0,3,1,0,
18,120,0,2,0,2,1,0.63,6,4,0,15,0,0,
20,125,0,3,0,1,1,0.87,5,5,1,7,0,1,
14,96,0,0,0,0,0,0.35,21,6,1,21,1,1,
22,136,0,7,0,2,1,0.65,10,5,1,25,0,0,
12,73,0,4,0,1,1,0.73,14,1,0,28,0,0,
24,158,0,4,0,0,0,0.38,12,5,1,2,1,1,
17,106,0,6,1,2,1,0.61,2,2,0,23,0,1,
18,116,0,6,1,2,1,0.7,12,1,0,10,0,0,
24,153,0,3,1,0,0,0.81,16,5,1,25,1,1,
10,69,0,6,1,1,1,0.66,12,2,0,26,0,0,
19,110,0,6,1,2,1,0.56,13,6,1,23,0,1,
22,140,0,2,0,1,1,0.85,6,4,0,27,1,0,
24,137,0,5,1,1,1,0.5,10,6,1,28,1,1,
19,120,0,5,1,0,0,0.46,4,1,0,15,0,0,
21,135,0,2,0,0,0,0.65,6,2,0,9,1,1,
23,126,0,1,1,0,0,0.31,0,4,0,20,0,1,
18,129,0,7,1,0,0,0.84,18,4,0,17,0,0,
20,133,0,6,0,0,0,0.71,9,3,0,22,0,1,
20,126,0,5,1,2,1,0.68,4,0,0,12,0,0,
21,141,0,5,0,1,1,0.68,16,5,1,28,0,0,
27,174,0,1,0,0,0,0.65,23,5,1,28,1,1,
21,142,0,3,1,1,1,0.5,19,5,1,8,1,1,
18,116,0,0,0,0,0,0.76,8,6,1,19,1,1,
17,118,0,6,0,1,1,0.54,11,5,1,14,1,1,
17,105,0,1,0,1,1,0.61,19,4,0,8,0,0,
24,168,0,5,1,2,1,0.54,1,3,0,23,0,0,
11,68,0,0,0,1,1,0.58,2,6,1,2,0,1,
6,39,0,4,1,0,0,0.7,18,5,1,17,1,0,
21,127,0,6,1,0,0,0.81,0,3,0,13,0,1,
17,101,0,1,0,0,0,0.63,7,6,1,29,0,0,
20,127,0,8,1,2,1,0.89,12,6,1,3,0,0,
16,103,0,6,0,2,1,0.66,21,4,0,24,0,0,
20,136,0,5,0,1,1,0.86,22,2,0,24,0,1,
20,123,0,0,0,0,0,0.43,12,5,1,4,1,1,
16,102,0,1,0,0,0,0.79,12,5,1,27,0,0,
30,184,0,8,0,2,1,0.65,13,3,0,12,0,1,
11,69,0,1,1,0,0,0.68,3,0,0,13,0,0,
23,158,0,4,0,1,1,0.37,4,0,0,5,1,1,
16,101,0,4,1,2,1,0.99,10,6,1,27,0,1,
22,138,0,5,1,1,1,0.89,12,4,0,16,0,0,
20,127,0,1,0,0,0,0.33,16,0,0,28,1,1,
23,135,0,3,0,0,0,0.86,5,0,0,28,0,0,
26,138,0,4,1,0,0,0.92,19,4,0,29,0,1,
15,98,0,7,1,0,0,0.51,7,3,0,20,0,0,
20,125,0,2,0,0,0,0.5,5,4,0,15,0,1,
17,100,0,8,0,0,0,0.48,2,4,0,2,1,0,
26,149,0,5,0,1,1,0.33,20,6,1,19,1,1,
11,64,0,7,1,2,1,0.51,18,3,0,17,0,0,
13,84,0,1,1,0,0,0.52,21,1,0,9,1,1,
14,90,0,0,0,2,1,0.97,13,3,0,17,0,0,
17,101,0,0,0,1,1,0.43,22,0,0,13,0,1,
10,52,0,3,1,1,1,0.57,8,6,1,12,0,0,
10,63,0,3,1,0,0,1.0,13,1,0,28,0,0,
26,165,0,2,1,0,0,0.7,19,3,0,14,1,1,
16,106,0,1,0,1,1,0.7,5,2,0,16,1,0,
11,72,0,1,0,0,0,0.65,19,3,0,9,0,1,
26,145,0,4,0,0,0,0.34,3,1,0,20,1,1,
